p_key,app_name,amount,leader_id,developer_id,hours,start_date,desing_date,development_date,end_date
O-62-9854-23,CTM,7040.00,4,4,32,2024-01-09,2024-01-11,2024-01-15,2024-01-15
C-20-1970-22,PMT,11020.00,5,5,40,2023-01-26,2023-01-30,2023-02-02,2023-02-02
C-20-1970-22,SICB2,6612.00,5,5,24,2023-01-26,2023-01-30,2023-02-02,2023-02-02
C-24-1653-22,CTM,7600.00,5,5,32,2023-01-10,2023-01-12,2023-01-16,2023-01-16
A-20-2094-22,CVM,6612.00,5,9,24,2023-03-22,2023-03-23,2023-03-27,2023-03-30
C-20-2007-22,CTM,4560.00,5,5,24,2023-02-16,2023-02-20,2023-02-22,2023-02-22
